abat/o	abbot
abdik/i	to abdicate
abel/o	bee
abi/o	fir
abism/o	abyss
abiturient/o	top-form boy in secondary school, who obtained his leaving-certificate examination
ablativ/o	ablative
abnegaci/o	abnegation
abomen/o	abomination
abon/i	subscribe
abort/i	abort, miscarry
abrikot/o	apricot
abrupt/a	abrupt
absces/o	abscess
absint/o	absinth  AK
absolut/a	absolute
absorb/i	to occupy wholly, to absorb
abstin/i	to abstain
abstrakt/a	abstract
absurd/a	absurd
abund/a	abundant
acer/o	maple
acid/a	acid, sour  AK
aĉet/i	buy
adapt/i	to adapt
adept/o	adept
adici/i	to add up
adjektiv/o	adjective
adjutant/o	adjutant
administr/i	administer
administraci/o	administration
admir/i	admire
admiral/o	admiral
admiralitat/o	admiralty
admon/i	exhort
adopt/i	adopt
ador/i	adore
adrenalin/o	
adres/o	address
adult/i	commit adultery  AK
advent/o	Advent
adverb/o	adverb
advokat/o	counsel, advocate
aer/o	air
aerolit/o	aerolite
aeroplan/o	aeroplan
afabl/a	affable
afekt/i	be affected, mince  AK
afer/o	affair
afiks/o	affix
afiŝ/o	poster, placard
aflikt/i	to distress, grieve, afflict
aforism/o	aphorism, maxim
afrank/i	pay the postage
Afrik/o	Africa
afust/o	gun-carriage
ag/i	act
agac/i	setting on edge (teeth, etc.)  AK
agat/o	agate
agent/o	agent
agit/i	
agl/o	eagle
agoni/o	death-agony
agord/o	tune (vb.)  AK
agrabl/a	agreeable
agraf/o	clasp
agres/i	
agronom/o	
agronomi/o	husbandry
aĝ/o	age
aĝi/o	agio
aidos/o	
ajl/o	garlic  AK
akaci/o	acacia
akademi/o	academy
akapar/i	to corner
akar/o	mite (insect)  AK
akcel/i	accelerate
akcent/o	accent (tonic)  AK
akcept/i	accept
akcesor/a	accessory
akci/o	share
akcident/o	accident
akcipitr/o	hawk
akciz/o	excise
akir/i	acquire
aklam/i	to acclaim
akn/o	pimple
akompan/i	accompany
akord/o	accord
akr/a	sharp
akrid/o	grass-hopper
akrobat/o	
aks/o	axle
aksel/o	armpit
aksiom/o	axiom
akt/o	act, deed
aktiv/a	active
aktor/o	actor
aktual/a	present, of present interest
akupunktur/o	
akurat/a	punctual
akuŝ/i	be confined (in childbed) (intr.)  AK
akut/a	acute, sharp
akuz/i	to accuse
akuzativ/o	accusative
akv/o	water
akvafort/o	etching, aquafortis engraving
akvarel/o	aquarelle, water colours
akvari/o	aquarium
akvilegi/o	columbine
alabastr/o	alabaster
alarm/o	alarm
alaŭd/o	lark
alban/o	
albin/o	an albino
album/o	album
alcion/o	halcyon
ald/o	alto (voice)
ale/o	alley
alegori/o	allegory
Aleksandr/o	
alen/o	awl
alergi/o	
alfabet/o	alphabet
alg/o	
algebr/o	algebra
algoritm/o	
Alĝeri/o	
alĥemi/o	
ali/a	other
alibi/o	
aligator/o	alligator
aline/o	break (print)
alk/o	elk
alkemi/o	alchemy
alkohol/o	alcohol
alkov/o	alcove
almanak/o	almanack
almoz/o	alms
aln/o	alder
alo/o	aloe
alt/a	high
altar/o	altar
alte/o	marshmallow  AK
altern/i	alternate
alternativ/o	
alud/i	allude
alumet/o	match
alumini/o	aluminium
alun/o	alum
am/i	love
amar/a	bitter
amas/o	crowd, mass
amator/o	amateur
ambasad/o	embassy
ambasador/o	ambassador
ambici/o	ambition
ambos/o	anvil
ambr/o	ambergris
ambrozi/o	ambrosia
ambulanc/o	ambulance
ameb/o	
amel/o	starch
amend/i	
Amerik/o	America
ametist/o	
amfibi/oj	amphibium
amfiteatr/o	
amfor/o	amphora
amik/o	friend
amnesti/o	amnesty
amoniak/o	ammoniac
Amor-o	God of Love, Cupid
amortiz/i	
ampleks/o	extent, size  AK
ampol/o	phial, ampoule, bulb
amput/i	amputate
amulet/o	
amuz/i	amuse
anagal/o	scarlet pimpernel
anagram/o	
anakronism/o	
analiz/i	analyse
analog/a	
ananas/o	pine-apple  AK
anapest/o	
anarĥi/o	anarchy
anarki/o	anarchy
anas/o	duck
anatomi/o	anatomy
anĉ/o	
anĉov/o	anchovy
anekdot/o	anecdote
aneks/i	
anemon/o	
angelik/o	garden angelica
angil/o	eel
angin/o	quinsy
angl/o	
angor/o	anguish
angul/o	corner, angle
anĝel/o	angel
anilin/o	aniline
anim/o	soul
animal/o	animal (as opposed to vegetable or mineral)
